date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-05-09 18:10:35,narendramodi,,332,975,1205,"छोटी उम्र में शहीद हुए मुन्ना श्रीवास्तव की पत्नी की इस प्रतिज्ञा ने मुझे अंदर तक झकझोर कर रख दिया| ऐसे लाखों तपस्वियों को मेरा प्रणाम |",,,,464829799865667584,https://twitter.com/narendramodi/status/464829799865667584
2014-05-09 18:08:55,narendramodi,,243,1158,1159,"श्रीमती प्रिया श्रीवास्तव ने बताया की 16 मई तक उसने एक समय का भोजन त्याग रखा है | भाजपा की विजय के समाचार सुन कर ही अपना व्रत तोड़ेगी |",,,,464829381110530048,https://twitter.com/narendramodi/status/464829381110530048
2014-05-09 18:07:49,narendramodi,,154,801,932,"आज गोपालगंज की चुनावी सभा में पटना रैली बम-ब्लास्ट में शहीद हुए मुन्ना श्रीवास्तव की पत्नी प्रिया श्रीवास्तव और बेटी सोनाक्षी से मिलना हुआ |",,,,464829104039010304,https://twitter.com/narendramodi/status/464829104039010304
2014-05-09 17:00:09,AmitShah,,59,283,202,"UP & Benaras have great potential in tourism but the Samajwadi Party Govt chose to market itself than tourism sector, causing damage to UP",,,,464812078289920000,https://twitter.com/AmitShah/status/464812078289920000
2014-05-09 16:57:50,AmitShah,,68,377,291,"Banaras wale Modi ji ko itne vote margin se jitwaye ki woh banaras me hein reh jaaye @indiatvnews",,@indiatvnews,,464811495088717825,https://twitter.com/AmitShah/status/464811495088717825
2014-05-09 16:55:57,AmitShah,,28,381,276,"एक BHU विद्यार्थी ने मुझे कहा ""पढ़े हो क्यों चक्कर में जब कोई नहीं 'मोदी' के टक्कर में "" @indiatvnewspic.twitter.com/KZSmmeun3b",,@indiatvnewspic,,464811019748261888,https://twitter.com/AmitShah/status/464811019748261888
2014-05-09 16:52:55,AmitShah,,1122,5459,3349,"If Arvind Kejriwal continues in politics after 16th May I will surely debate with him & fulfill his wish @indiatvnewspic.twitter.com/XEzFLNBKzY",,@indiatvnewspic,,464810256217157632,https://twitter.com/AmitShah/status/464810256217157632
2014-05-09 16:50:50,ArvindKejriwal,,1337,1520,958,"So, u ran an opinion poll 48 hrs before polls only for Modi? Aah. Why? What has been ur deal with Modi?",,,,464809730230456320,https://twitter.com/ArvindKejriwal/status/464809730230456320
2014-05-09 16:49:28,ArvindKejriwal,,443,1185,741,"Did u do similar poll for any individual const 48 hrs before polls in last one yr? Rahul Gandhi? Sonia Gandhi? Sheila Dikshit? Advaniji? No?",,,,464809387115429888,https://twitter.com/ArvindKejriwal/status/464809387115429888
2014-05-09 16:47:08,ArvindKejriwal,,586,1416,763,"48 hrs before the polls, Aroon Purie runs this farzi poll for an individual constituency. Why? What r ur intentions Purie sahib?",,,,464808800109596672,https://twitter.com/ArvindKejriwal/status/464808800109596672
2014-05-09 16:44:16,ArvindKejriwal,,483,1224,647,"Is Aroon Purie's group incompetent to do polls or do they take money to do polls? Aroon Purie owes an explanation.",,,,464808078995513344,https://twitter.com/ArvindKejriwal/status/464808078995513344
